Frank Sinatra
Frank Underwood
Frank Zappa
Franklin Delano Roosevelt
Franz Beckenbauer
Franz Kafka
Franz Liszt
Franz Schubert
Freddie Mercury
Freddy Krueger
Frédéric Chopin
Frédéric Diefenthal
Frédéric Taddeï
Frère
Frère de lait
Frère jumeau
Frère siamois
Frida Kahlo
Friedrich Nietzsche
Fritz Lang
Gad Elmaleh
Gaïa
Gal Gadot
Galilée
Gandalf
Gandhi
Ganesh
Garçon
Garfield
Gargamel
Gargantua
Garou
Gary Cooper
Gary Oldman
Gaston Lagaffe
Gendre
Gene Hackman
Gengis Khan
Geoffrey Rush
Georg Cantor
Georg Wilhelm Friedrich Hegel
George Clooney
George Gershwin
George Harrison
George Lucas
George Michael
George Orwell
George Sand
George W. Bush
George Washington
Georges Braque
Georges Brassens
Georges Clemenceau
Georges Duroy (Bel-Ami)
Georges Méliès
Georges Pompidou
Georges Simenon
Gepetto
Gérald de Palmas
Géraldine Nakache
Gérard Depardieu
Gérard Jugnot
Gérard Lanvin
Géronimo
Giacomo Casanova
Gianluigi Buffon
Gil Jourdan
Gilgamesh
Gilles Deleuze
Gilles Lellouche
Gims
Giorgio Armani
Giuseppe Verdi
Glenn Close
Goldorak
Gollum
Gotlib
Gottfried Wilhelm Leibniz
Goudurix
Grace Hopper
Grace Kelly
Grand Corps Malade
Grand-mère
Grand-oncle
Grand-père
Grand-tante
Green Lantern
Greta Garbo
Grigori Raspoutine
Grincheux
Gromit
Groot
Grosminet
Guillaume Apollinaire
Guillaume Canet
Guillaume de Baskerville
Guillaume le Conquérant
Guizmo
Gustav Klimt
Gustave Courbet
Gustave Eiffel
Gustave Flaubert
Gustavo Fring
Guy Bedos
Guy de Maupassant
Gwyneth Paltrow
Hadès
Hadrien
Hal
Halle Berry
Hamlet
Han Solo
Hannah Arendt
Hannibal
Hannibal Lecter
Hansel et Gretel
Harpagon
Harrison Ford
Harry Callahan (L'inspecteur Harry)
Harry Potter
Harvey Keitel
Hathor
Hayao Miyazaki
Heathcliff
Hébus
Hector
Heidi
Heinrich Himmler
Helen Mirren
Helena Bonham Carter
Hélène Ségara
Henri Becquerel
Henri Bergson
Henri de Galles (Le Prince Harry)
Henri de Toulouse-Lautrec
Henri Désiré Landru
Henri Emmanuelli
Henri IV
Henri Matisse
Henri Poincaré
Henri Salvador
Henri VIII
Henry Ford
Héphaïstos
Héra
Héraclès
Héraclite
Herbert de Vaucanson
Hercule Poirot
Hergé
Hermès
Hermione Granger
Hernán Cortés
Hérodote
Hésiode
Hippocrate
Hobbes
Homer Simpson
Homère
Honoré de Balzac
Horace
Horus
Howard Wolowitz
Hubert Bonisseur de la Batte (OSS 117)
Hubert Reeves
Hugh Grant
Hugh Jackman
Hugo Pratt
Hugues Capet
Humphrey Bogart
Hutch
Ian McKellen
Ibrahim Maalouf
Icare
Idéfix
Idris Elba
Ielosubmarine
Iggy Pop
Igor et Grichka Bogdanoff
Igor Stravinsky
Imhotep
Indiana Jones
Indila
Inès de la Fressange
Ingmar Bergman
Ingrid Bergman
Inspecteur Columbo
Inspecteur Derrick
Inspecteur Gadget
Inspecteur Lestrade
Iphigénie
Isaac Asimov
Isaac Newton
Isabelle Adjani
Isabelle Boulay
Isabelle Carré
Isabelle Huppert
Isabelle la Catholique
Isis
Ivan le Terrible
Ivanhoé
Iznogoud
J. K. Rowling
J. R. Ewing
J. R. R. Tolkien
Jabba le Hut
Jack Bauer
Jack Black
Jack l'Éventreur
Jack London
Jack Nicholson
Jackie Chan
Jacob et Wihelm Grimm
Jacques Anquetil
Jacques Brel
Jacques Cartier
Jacques Chirac
Jacques Dutronc
Jacques Gamblin
Jacques Mesrine
Jacques Offenbach
Jacques Prévert
Jacques Villeret
Jacques-Yves Cousteau
Jacquouille la Fripouille
Jafar
Jaime Lannister
Jain
Jake Gyllenhaal
Jamel Debbouze
James Blunt
James Bond
James Brown
James Cameron
James Cook
James Franco
James McAvoy
Jamie Foxx
Jane Austen
Jane Birkin
Jane Eyre
Jane Fonda
Janet Jackson
Janis Joplin
Janus
Jason Bourne
Jason Statham
Javert
Jay Z
Jay-Z
Jean Anouilh
Jean Bart
Jean Calvin
Jean Cocteau
Jean de Florette
Jean de La Fontaine
Jean Dujardin
Jean Ferrat
Jean Gabin
Jean Giono
Jean Giraud (Mœbius)
